ID,Date,Chimpanzee,Counterbalance,Trial,Condition,First_Choice,Second_Choice,Belief_Revision
1,10-Jan,Kalema,strong_first_weak_second,1,strong_first,strong,weak,yes
2,10-Jan,Kalema,strong_first_weak_second,2,filler_strong,strong,/,/
3,10-Jan,Kalema,strong_first_weak_second,3,strong_first,strong,strong,no
4,10-Jan,Kalema,strong_first_weak_second,4,strong_first,weak,weak,no
5,10-Jan,Kalema,strong_first_weak_second,5,strong_first,strong,strong,no
6,10-Jan,Kalema,strong_first_weak_second,6,filler_weak,empty,/,/
7,10-Jan,Kalema,strong_first_weak_second,7,weak_first,weak,strong,yes
8,10-Jan,Kalema,strong_first_weak_second,8,filler_weak,weak,/,/
9,10-Jan,Kalema,strong_first_weak_second,9,weak_first,weak,strong,yes
10,10-Jan,Kalema,strong_first_weak_second,10,weak_first,weak,weak,no
11,10-Jan,Kalema,strong_first_weak_second,11,weak_first,strong,strong,no
12,10-Jan,Indi,weak_first_strong_second,1,weak_first,strong,strong,no
13,10-Jan,Indi,weak_first_strong_second,2,filler_weak,weak,/,/
14,10-Jan,Indi,weak_first_strong_second,3,weak_first,weak,strong,yes
15,10-Jan,Indi,weak_first_strong_second,4,weak_first,weak,strong,yes
16,10-Jan,Indi,weak_first_strong_second,5,weak_first,weak,strong,yes
17,10-Jan,Indi,weak_first_strong_second,6,filler_strong,strong,/,/
18,10-Jan,Indi,weak_first_strong_second,7,strong_first,strong,strong,no
19,10-Jan,Indi,weak_first_strong_second,8,filler_strong,strong,/,/
20,10-Jan,Indi,weak_first_strong_second,9,strong_first,strong,strong,no
21,10-Jan,Indi,weak_first_strong_second,10,strong_first,strong,strong,no
22,10-Jan,Indi,weak_first_strong_second,11,strong_first,strong,strong,no
23,10-Jan,Medina,strong_first_weak_second,1,strong_first,strong,strong,no
24,10-Jan,Medina,strong_first_weak_second,2,filler_strong,strong,/,/
25,10-Jan,Medina,strong_first_weak_second,3,strong_first,strong,weak,yes
26,10-Jan,Medina,strong_first_weak_second,4,strong_first,strong,strong,no
27,10-Jan,Medina,strong_first_weak_second,5,strong_first,strong,weak,yes
28,10-Jan,Medina,strong_first_weak_second,6,filler_weak,weak,/,/
29,10-Jan,Medina,strong_first_weak_second,7,weak_first,weak,strong,yes
30,10-Jan,Medina,strong_first_weak_second,8,filler_weak,empty,/,/
31,10-Jan,Medina,strong_first_weak_second,9,weak_first,weak,strong,yes
32,10-Jan,Medina,strong_first_weak_second,10,weak_first,weak,strong,yes
33,10-Jan,Medina,strong_first_weak_second,11,weak_first,strong,strong,no
34,10-Jan,Pasa,weak_first_strong_second,1,weak_first,strong,strong,no
35,10-Jan,Pasa,weak_first_strong_second,2,filler_weak,empty,/,/
36,10-Jan,Pasa,weak_first_strong_second,3,weak_first,weak,strong,yes
37,10-Jan,Pasa,weak_first_strong_second,4,weak_first,weak,strong,yes
38,10-Jan,Pasa,weak_first_strong_second,5,weak_first,weak,strong,yes
39,10-Jan,Pasa,weak_first_strong_second,6,filler_strong,strong,/,/
40,10-Jan,Pasa,weak_first_strong_second,7,strong_first,strong,strong,no
41,10-Jan,Pasa,weak_first_strong_second,8,filler_strong,strong,/,/
42,10-Jan,Pasa,weak_first_strong_second,9,strong_first,strong,strong,no
43,10-Jan,Pasa,weak_first_strong_second,10,strong_first,strong,strong,no
44,10-Jan,Pasa,weak_first_strong_second,11,strong_first,strong,strong,no
45,10-Jan,Asega,strong_first_weak_second,1,strong_first,strong,strong,no
46,10-Jan,Asega,strong_first_weak_second,2,filler_strong,strong,/,/
47,10-Jan,Asega,strong_first_weak_second,3,strong_first,strong,strong,no
48,10-Jan,Asega,strong_first_weak_second,4,strong_first,strong,strong,no
49,10-Jan,Asega,strong_first_weak_second,5,strong_first,strong,strong,no
50,10-Jan,Asega,strong_first_weak_second,6,filler_weak,weak,/,/
51,10-Jan,Asega,strong_first_weak_second,7,weak_first,weak,strong,yes
52,10-Jan,Asega,strong_first_weak_second,8,filler_weak,empty,/,/
53,10-Jan,Asega,strong_first_weak_second,9,weak_first,weak,strong,yes
54,10-Jan,Asega,strong_first_weak_second,10,weak_first,weak,strong,yes
55,10-Jan,Asega,strong_first_weak_second,11,weak_first,strong,strong,no
56,10-Jan,Yoyo,weak_first_strong_second,1,weak_first,strong,strong,no
57,10-Jan,Yoyo,weak_first_strong_second,2,filler_weak,empty,/,/
58,10-Jan,Yoyo,weak_first_strong_second,3,weak_first,strong,strong,no
59,10-Jan,Yoyo,weak_first_strong_second,4,weak_first,strong,strong,no
60,10-Jan,Yoyo,weak_first_strong_second,5,weak_first,weak,strong,yes
61,10-Jan,Yoyo,weak_first_strong_second,6,filler_strong,strong,/,/
62,10-Jan,Yoyo,weak_first_strong_second,7,strong_first,strong,strong,no
63,10-Jan,Yoyo,weak_first_strong_second,8,filler_strong,strong,/,/
64,10-Jan,Yoyo,weak_first_strong_second,9,strong_first,strong,strong,no
65,10-Jan,Yoyo,weak_first_strong_second,10,strong_first,strong,strong,no
66,10-Jan,Yoyo,weak_first_strong_second,11,strong_first,strong,strong,no
67,11-Jan,Baluku,strong_first_weak_second,1,strong_first,strong,weak,yes
68,11-Jan,Baluku,strong_first_weak_second,2,filler_strong,strong,/,/
69,11-Jan,Baluku,strong_first_weak_second,3,strong_first,strong,strong,no
70,11-Jan,Baluku,strong_first_weak_second,4,strong_first,strong,strong,no
71,11-Jan,Baluku,strong_first_weak_second,5,strong_first,strong,strong,no
72,11-Jan,Baluku,strong_first_weak_second,6,filler_weak,weak,/,/
73,11-Jan,Baluku,strong_first_weak_second,7,weak_first,strong,strong,no
74,11-Jan,Baluku,strong_first_weak_second,8,filler_weak,empty,/,/
75,11-Jan,Baluku,strong_first_weak_second,9,weak_first,weak,strong,yes
76,11-Jan,Baluku,strong_first_weak_second,10,weak_first,weak,strong,yes
77,11-Jan,Baluku,strong_first_weak_second,11,weak_first,weak,strong,yes
78,11-Jan,Rambo,weak_first_strong_second,1,weak_first,weak,strong,yes
79,11-Jan,Rambo,weak_first_strong_second,2,filler_weak,weak,/,/
80,11-Jan,Rambo,weak_first_strong_second,3,weak_first,weak,strong,yes
81,11-Jan,Rambo,weak_first_strong_second,4,weak_first,weak,strong,yes
82,11-Jan,Rambo,weak_first_strong_second,5,weak_first,weak,strong,yes
83,11-Jan,Rambo,weak_first_strong_second,6,filler_strong,strong,/,/
84,11-Jan,Rambo,weak_first_strong_second,7,strong_first,strong,strong,no
85,11-Jan,Rambo,weak_first_strong_second,8,filler_strong,strong,/,/
86,11-Jan,Rambo,weak_first_strong_second,9,strong_first,strong,strong,no
87,11-Jan,Rambo,weak_first_strong_second,10,strong_first,strong,strong,no
88,11-Jan,Rambo,weak_first_strong_second,11,strong_first,strong,strong,no
89,11-Jan,Nkuumwa,strong_first_weak_second,1,strong_first,strong,strong,no
90,11-Jan,Nkuumwa,strong_first_weak_second,2,filler_strong,strong,/,/
91,11-Jan,Nkuumwa,strong_first_weak_second,3,strong_first,strong,strong,no
92,11-Jan,Nkuumwa,strong_first_weak_second,4,strong_first,strong,strong,no
93,11-Jan,Nkuumwa,strong_first_weak_second,5,strong_first,strong,strong,no
94,11-Jan,Nkuumwa,strong_first_weak_second,6,filler_weak,weak,/,/
95,11-Jan,Nkuumwa,strong_first_weak_second,7,weak_first,strong,strong,no
96,11-Jan,Nkuumwa,strong_first_weak_second,8,filler_weak,empty,/,/
97,11-Jan,Nkuumwa,strong_first_weak_second,9,weak_first,weak,strong,yes
98,11-Jan,Nkuumwa,strong_first_weak_second,10,weak_first,strong,strong,no
99,11-Jan,Nkuumwa,strong_first_weak_second,11,weak_first,weak,strong,yes
100,11-Jan,Nani,weak_first_strong_second,1,weak_first,weak,strong,yes
101,11-Jan,Nani,weak_first_strong_second,2,filler_weak,empty,/,/
102,11-Jan,Nani,weak_first_strong_second,3,weak_first,strong,strong,no
103,11-Jan,Nani,weak_first_strong_second,4,weak_first,strong,strong,no
104,11-Jan,Nani,weak_first_strong_second,5,weak_first,weak,strong,yes
105,11-Jan,Nani,weak_first_strong_second,6,filler_strong,strong,/,/
106,11-Jan,Nani,weak_first_strong_second,7,strong_first,strong,strong,no
107,11-Jan,Nani,weak_first_strong_second,8,filler_strong,strong,/,/
108,11-Jan,Nani,weak_first_strong_second,9,strong_first,strong,strong,no
109,11-Jan,Nani,weak_first_strong_second,10,strong_first,strong,strong,no
110,11-Jan,Nani,weak_first_strong_second,11,strong_first,strong,strong,no
111,11-Jan,Sally,strong_first_weak_second,1,strong_first,strong,weak,yes
112,11-Jan,Sally,strong_first_weak_second,2,filler_strong,empty,/,/
